"city_en"
"Sapporo, Sapporo"
"Chuo-ku, Sapporo"
"Kita-ku, Sapporo"
"Higashi-ku, Sapporo"
"Shiroishi-ku, Sapporo"
"Toyohira-ku, Sapporo"
"Minami-ku, Sapporo"
"Nishi-ku, Sapporo"
"Atsubetsu-ku, Sapporo"
"Teine-ku, Sapporo"
"Kiyota-ku, Sapporo"
"Hakodate, Hokkaido"
"Otaru, Shiribeshi"
"Asahikawa, Kamikawa"
"Muroran, Hokkaido"
"Kushiro, Hokkaido"
"Obihiro, Hokkaido"
"Kitami, Hokkaido"
"Yubari, Hokkaido"
"Iwamizawa, Hokkaido"
"Abashiri, Okhotsk"
"Rumoi, Hokkaido"
"Tomakomai, Hokkaido"
"Wakkanai, Hokkaido"
"Bibai, Hokkaido"
"Ashibetsu, Hokkaido"
"Ebetsu, Hokkaido"
"Akabira, Hokkaido"
"Monbetsu, Hokkaido"
"Shibetsu, Hokkaido"
"Nayoro, Hokkaido"
"Mikasa, Hokkaido"
"Nemuro, Hokkaido"
"Chitose, Hokkaido"
"Takikawa, Hokkaido"
"Sunagawa, Hokkaido"
"Utashinai, Hokkaido"
"Fukagawa, Hokkaido"
"Furano, Hokkaido"
"Noboribetsu, Hokkaido"
"Eniwa, Hokkaido"
"Date, Hokkaido"
"Kitahiroshima, Hokkaido"
"Ishikari, Hokkaido"
"Hokuto, Hokkaido"
"Tobetsu, Hokkaido"
"Shinshinotsu, Hokkaido"
"Matsumae, Hokkaido"
"Fukushima, Hokkaido"
"Shiriuchi, Hokkaido"
"Kikonai, Hokkaido"
"Nanae, Hokkaido"
"Shikabe, Hokkaido"
"Mori, Hokkaido"
"Yakumo, Hokkaido"
"Oshamambe, Hokkaido"
"Esashi, Hokkaido (Hiyama)"
"Kaminokuni, Hokkaido"
"Assabu, Hokkaido"
"Otobe, Hokkaido"
"Okushiri, Hokkaido"
"Imakane, Hokkaido"
"Setana, Hokkaido"
"Shimamaki, Hokkaido"
"Suttsu, Hokkaido"
"Kuromatsunai, Hokkaido"
"Rankoshi, Hokkaido"
"Niseko, Hokkaido"
"Makkari, Hokkaido"
"Rusutsu, Hokkaido"
"Kimobetsu, Hokkaido"
"Kyogoku, Hokkaido"
"Kutchan, Hokkaido"
"Kyowa, Hokkaido"
"Iwanai, Hokkaido"
"Tomari, Hokkaido"
"Kamoenai, Hokkaido"
"Shakotan, Hokkaido"
"Furubira, Hokkaido"
"Niki, Hokkaido"
"Yoichi, Hokkaido"
"Akaigawa, Hokkaido"
"Nanporo, Hokkaido"
"Naie, Hokkaido"
"Kamisunagawa, Hokkaido"
"Yuni, Hokkaido"
"Naganuma, Hokkaido"
"Kuriyama, Hokkaido"
"Tsukigata, Hokkaido"
"Urausu, Hokkaido"
"Shintotsukawa, Hokkaido"
"Moseushi, Hokkaido"
"Chippubetsu, Hokkaido"
"Uryu, Hokkaido"
"Hokuryu, Hokkaido"
"Numata, Hokkaido"
"Takasu, Hokkaido"
"Higashikagura, Hokkaido"
"Toma, Hokkaido"
"Pippu, Hokkaido"
"Aibetsu, Hokkaido"
"Kamikawa, Hokkaido"
"Higashikawa, Hokkaido"
"Biei, Hokkaido"
"Kamifurano, Hokkaido"
"Nakafurano, Hokkaido"
"Minamifurano, Hokkaido"
"Shimukappu"
"Wassamu, Hokkaido"
"Kenbuchi, Hokkaido"
"Shimokawa, Hokkaido"
"Bifuka, Hokkaido"
"Otoineppu, Hokkaido"
"Nakagawa, Hokkaido"
"Horokanai, Hokkaido"
"Mashike, Hokkaido"
"Obira, Hokkaido"
"Tomamae, Hokkaido"
"Haboro, Hokkaido"
"Shosanbetsu, Hokkaido"
"Enbetsu, Hokkaido"
"Teshio, Hokkaido"
"Sarufutsu, Hokkaido"
"Hamatonbetsu, Hokkaido"
"Nakatonbetsu, Hokkaido"
"Esashi, Hokkaido (Soya)"
"Toyotomi, Hokkaido"
"Rebun, Hokkaido"
"Rishiri, Hokkaido"
"Rishirifuji, Hokkaido"
"Horonobe, Hokkaido"
"Bihoro, Hokkaido"
"Tsubetsu, Hokkaido"
"Shari, Hokkaido"
"Kiyosato, Hokkaido"
"Koshimizu, Hokkaido"
"Kunneppu, Hokkaido"
"Oketo, Hokkaido"
"Saroma, Hokkaido"
"Engaru, Hokkaido"
"Yubetsu, Hokkaido"
"Takinoue, Hokkaido"
"Okoppe, Hokkaido"
"Nishiokoppe, Hokkaido"
"omu, Hokkaido"
"ozora, Hokkaido"
"Toyoura, Hokkaido"
"Sobetsu, Hokkaido"
"Shiraoi, Hokkaido"
"Atsuma, Hokkaido"
"Toyako, Hokkaido"
"Abira, Hokkaido"
"Mukawa, Hokkaido"
"Hidaka, Hokkaido"
"Biratori, Hokkaido"
"Niikappu, Hokkaido"
"Urakawa, Hokkaido"
"Samani, Hokkaido"
"Erimo, Hokkaido"
"Shinhidaka, Hokkaido"
"Otofuke, Hokkaido"
"Shihoro, Hokkaido"
"Kamishihoro, Hokkaido"
"Shikaoi, Hokkaido"
"Shintoku, Hokkaido"
"Shimizu, Hokkaido"
"Memuro, Hokkaido"
"Nakasatsunai, Hokkaido"
"Sarabetsu, Hokkaido"
"Taiki, Hokkaido"
"Hiroo, Hokkaido"
"Makubetsu, Hokkaido"
"Ikeda, Hokkaido"
"Toyokoro, Hokkaido"
"Honbetsu, Hokkaido"
"Ashoro, Hokkaido"
"Rikubetsu, Hokkaido"
"Urahoro, Hokkaido"
"Kushiro, Kushiro"
"Akkeshi, Hokkaido"
"Hamanaka, Hokkaido"
"Shibecha, Hokkaido"
"Teshikaga, Hokkaido"
"Tsurui, Hokkaido"
"Shiranuka, Hokkaido"
"Betsukai, Hokkaido"
"Nakashibetsu, Hokkaido"
"Shibetsu, Hokkaido (Nemuro)"
"Rausu, Hokkaido"
"Aomori, Aomori"
"Hirosaki, Aomori"
"Hachinohe, Aomori"
"Kuroishi, Aomori"
"Goshogawara, Aomori"
"Towada, Aomori"
"Misawa, Aomori"
"Mutsu, Aomori"
"Tsugaru, Aomori"
"Hirakawa, Aomori"
"Hiranai, Aomori"
"Imabetsu, Aomori"
"Yomogita, Aomori"
"Sotogahama, Aomori"
"Ajigasawa, Aomori"
"Fukaura, Aomori"
"Nishimeya, Aomori"
"Fujisaki, Aomori"
"owani, Aomori"
"Inakadate, Aomori"
"Itayanagi, Aomori"
"Tsuruta, Aomori"
"Nakadomari, Aomori"
"Noheji, Aomori"
"Shichinohe, Aomori"
"Rokunohe, Aomori"
"Yokohama, Aomori"
"Tohoku, Aomori"
"Rokkasho, Aomori"
"Oirase, Aomori"
"oma, Aomori"
"Higashidori, Aomori"
"Kazamaura, Aomori"
"Sai, Aomori"
"Sannohe, Aomori"
"Gonohe, Aomori"
"Takko, Aomori"
"Nanbu, Aomori"
"Hashikami, Aomori"
"Shingo, Aomori"
"Morioka, Nambu"
"Miyako, Iwate"
"ofunato, Iwate"
"Hanamaki, Iwate"
"Kitakami, Iwate"
"Kuji, Iwate"
"Tono, Iwate"
"Ichinoseki, Iwate"
"Rikuzentakata, Iwate"
"Kamaishi, Iwate"
"Ninohe, Iwate"
"Hachimantai, Iwate"
"oshu, Iwate"
"Takizawa, Iwate"
"Shizukuishi, Iwate"
"Kuzumaki, Iwate"
"Iwate, Iwate"
"Shiwa, Iwate"
"Yahaba, Iwate"
"Nishiwaga, Iwate"
"Kanegasaki, Iwate"
"Hiraizumi, Iwate"
"Sumita, Iwate"
"otsuchi, Iwate"
"Yamada, Iwate"
"Iwaizumi, Iwate"
"Tanohata, Iwate"
"Fudai, Iwate"
"Karumai, Iwate"
"Noda, Iwate"
"Kunohe, Iwate"
"Hirono, Iwate"
"Ichinohe, Iwate"
"Sendai, Miyagi"
"Aoba-ku, Sendai"
"Miyagino-ku, Sendai"
"Wakabayashi-ku, Sendai"
"Taihaku-ku, Sendai"
"Izumi-ku, Sendai"
"Ishinomaki, Miyagi"
"Shiogama, Miyagi"
"Kesennuma, Miyagi"
"Shiroishi, Miyagi"
"Natori, Miyagi"
"Kakuda, Miyagi"
"Tagajo, Miyagi"
"Iwanuma, Miyagi"
"Tome, Miyagi"
"Kurihara, Miyagi"
"Higashimatsushima, Miyagi"
"osaki, Miyagi"
"Tomiya, Miyagi"
"Zao, Miyagi"
"Shichikashuku, Miyagi"
"ogawara, Miyagi"
"Murata, Miyagi"
"Shibata, Miyagi"
"Kawasaki, Miyagi"
"Marumori, Miyagi"
"Watari, Miyagi"
"Yamamoto, Miyagi"
"Matsushima, Miyagi"
"Shichigahama, Miyagi"
"Rifu, Miyagi"
"Taiwa, Miyagi"
"osato, Miyagi"
"ohira, Miyagi"
"Shikama, Miyagi"
"Kami, Miyagi"
"Wakuya, Miyagi"
"Misato, Miyagi"
"Onagawa, Miyagi"
"Minamisanriku, Miyagi"
"Akita, Akita"
"Noshiro, Akita"
"Yokote, Akita"
"odate"
"Oga, Akita"
"Yuzawa, Akita"
"Kazuno, Akita"
"Yurihonjo, Akita"
"Katagami, Akita"
"Daisen, Akita"
"Kitaakita, Akita"
"Nikaho, Akita"
"Semboku, Akita"
"Kosaka, Akita"
"Kamikoani, Akita"
"Fujisato, Akita"
"Mitane, Akita"
"Happo, Akita"
"Gojome, Akita"
"Hachirogata, Akita"
"Ikawa, Akita"
"ogata, Akita"
"Misato, Akita"
"Ugo, Akita"
"Higashinaruse, Akita"
"Yamagata, Yamagata"
"Yonezawa, Yamagata"
"Tsuruoka, Yamagata"
"Sakata, Yamagata"
"Shinjo, Yamagata"
"Sagae, Yamagata"
"Kaminoyama, Yamagata"
"Murayama, Yamagata"
"Nagai, Yamagata"
"Tendo, Yamagata"
"Higashine, Yamagata"
"Obanazawa, Yamagata"
"Nan'yo, Yamagata"
"Yamanobe, Yamagata"
"Nakayama, Yamagata"
"Kahoku, Yamagata"
"Nishikawa, Yamagata"
"Asahi, Yamagata (Nishimurayama)"
"oe, Yamagata"
"oishida, Kitamurayama"
"Kaneyama, Yamagata"
"Mogami, Yamagata"
"Funagata, Yamagata"
"Mamurogawa, Yamagata"
"okura, Yamagata"
"Sakegawa, Yamagata"
"Tozawa, Yamagata"
"Takahata, Yamagata"
"Kawanishi, Yamagata"
"Oguni, Yamagata"
"Shirataka"
"Iide, Yamagata"
"Mikawa, Yamagata"
"Shonai, Yamagata"
"Yuza, Yamagata"
"Fukushima, Fukushima"
"Aizuwakamatsu, Fukushima"
"Koriyama, Fukushima"
"Iwaki, Fukushima"
"Shirakawa, Fukushima"
"Sukagawa, Fukushima"
"Kitakata, Fukushima"
"Soma, Fukushima"
"Nihonmatsu, Fukushima"
"Tamura, Fukushima"
"Minamisoma, Fukushima"
"Date City, Fukushima"
"Motomiya, Fukushima"
"Koori, Fukushima"
"Kunimi, Fukushima"
"Kawamata, Fukushima"
"otama, Fukushima"
"Kagamiishi, Fukushima"
"Ten-ei, Fukushima"
"Shimogo, Fukushima"
"Hinoemata, Fukushima"
"Tadami, Fukushima"
"Minamiaizu, Fukushima"
"Kitashiobara, Fukushima"
"Nishiaizu, Fukushima"
"Bandai, Fukushima"
"Inawashiro, Fukushima"
"Aizubange, Fukushima"
"Yugawa, Fukushima"
"Yanaizu, Fukushima"
"Mishima, Fukushima"
"Kaneyama, Fukushima"
"Showa, Fukushima"
"Aizumisato, Fukushima"
"Nishigo, Fukushima"
"Izumizaki, Fukushima"
"Nakajima, Fukushima"
"Yabuki, Fukushima"
"Tanagura, Fukushima"
"Yamatsuri, Fukushima"
"Hanawa, Fukushima"
"Samegawa, Fukushima"
"Ishikawa, Fukushima"
"Tamakawa, Fukushima"
"Hirata, Fukushima"
"Asakawa, Fukushima"
"Furudono, Fukushima"
"Miharu, Fukushima"
"Ono, Fukushima"
"Hirono, Fukushima"
"Naraha, Fukushima"
"Tomioka, Fukushima"
"Kawauchi, Fukushima"
"okuma, Fukushima"
"Futaba, Fukushima"
"Namie, Fukushima"
"Katsurao, Fukushima"
"Shinchi, Fukushima"
"Iitate, Fukushima"
"Mito, Ibaraki"
"Hitachi, Ibaraki"
"Tsuchiura, Ibaraki"
"Koga, Ibaraki"
"Ishioka, Ibaraki"
"Yuki, Ibaraki"
"Ryugasaki, Ibaraki"
"Shimotsuma, Ibaraki"
"Joso, Ibaraki"
"Hitachiota, Ibaraki"
"Takahagi, Ibaraki"
"Kitaibaraki, Ibaraki"
"Kasama, Ibaraki"
"Toride, Ibaraki"
"Ushiku, Ibaraki"
"Tsukuba, Ibaraki"
"Hitachinaka, Ibaraki"
"Kashima, Ibaraki"
"Itako, Ibaraki"
"Moriya, Ibaraki"
"Hitachiomiya, Ibaraki"
"Naka, Ibaraki"
"Chikusei, Ibaraki"
"Bando, Ibaraki"
"Inashiki, Ibaraki"
"Kasumigaura, Ibaraki"
"Sakuragawa, Ibaraki"
"Kamisu, Ibaraki"
